dcosId,userId,vehicle_model,vehicle_maxChgRate,siteId,stationId,connectTime,startChargeTime,defaultDeadline,Deadline,energyReq,estCost,reg_centsPerHr,sch_centsPerHr,sch_centsPerKwh,sch_centsPerOverstayHr,Duration,DurationHrs,choice,cumEnergy,peakPower,power,lastUpdate,slrpPaymentId
24,605,500e,6600,23,7,2020-11-05T10:30:16,2020-11-05T10:31:09,1969-12-31T16:00:00,Null,Null,5.35225,130.0,9.0,15.0,200.0,0 days 03:43:57,3.7325,REGULAR,3281,6335,"[[1604601308       6259]
 [1604601606       6269]
 [1604601906       6298]
 [1604602206       6318]
 [1604602506       6335]
 [1604602806       5809]
 [1604603106       3589]
 [1604603406          0]
 [1604603706          0]
 [1604604011          0]
 [1604604306          0]
 [1604604606          0]
 [1604604906          0]
 [1604605206          0]
 [1604605506          0]
 [1604605806          0]
 [1604606107          0]
 [1604606407          0]
 [1604606706          0]
 [1604607006          0]
 [1604607306          0]
 [1604607611          0]
 [1604607906          0]
 [1604608206          0]
 [1604608506          0]
 [1604608806          0]
 [1604609106          0]
 [1604609406          0]
 [1604609706          0]
 [1604610007          0]
 [1604610306          0]
 [1604610606          0]
 [1604610906          0]
 [1604611210          0]
 [1604611506          0]
 [1604611806          0]
 [1604612106          0]
 [1604612406          0]
 [1604612706          0]
 [1604613006          0]
 [1604613306          0]
 [1604613606          0]
 [1604613906          0]
 [1604614206          0]
 [1604614506          0]]",2020-11-05T14:15:06,6b108a9e64224989135baca2cffa2c596359c45ef2c0f0a9f30581a81ece8f29
26,486,Model 3,24000,23,3,2020-11-11T07:39:55,2020-11-11T07:39:59,2020-11-12T03:11:00,Null,Null,10.752916666666700,150.0,3.0,15.0,200.0,0 days 06:50:07,6.835277777777780,REGULAR,33458,7005,"[[1605109206          0]
 [1605109506       6978]
 [1605109806       6987]
 [1605110106       6988]
 [1605110406       6984]
 [1605110706       6988]
 [1605111006       6987]
 [1605111306       6997]
 [1605111610       6989]
 [1605111906       6989]
 [1605112207       6965]
 [1605112506       6967]
 [1605112806       6979]
 [1605113106       6979]
 [1605113406       6983]
 [1605113706       6978]
 [1605114006       6988]
 [1605114306       6995]
 [1605114606       6983]
 [1605114906       6989]
 [1605115211       6986]
 [1605115506       6986]
 [1605115806       6976]
 [1605116107       6982]
 [1605116406       6983]
 [1605116706       6974]
 [1605117006       6978]
 [1605117306       6978]
 [1605117606       6979]
 [1605117906       6996]
 [1605118206       6982]
 [1605118506       6985]
 [1605118811       6986]
 [1605119106       6987]
 [1605119406       6994]
 [1605119706       6984]
 [1605120006       6990]
 [1605120306       6996]
 [1605120606       6985]
 [1605120906       7005]
 [1605121206       6982]
 [1605121506       6987]
 [1605121806       6994]
 [1605122106       6989]
 [1605122411       6989]
 [1605122706       6983]
 [1605123006       6991]
 [1605123306       6979]
 [1605123606       6988]
 [1605123906       6986]
 [1605124206       6991]
 [1605124507       6985]
 [1605124808       6981]
 [1605125106       6983]
 [1605125407       6982]
 [1605125707       6987]
 [1605126011       6978]
 [1605126306       6977]
 [1605126606       6983]
 [1605126906       6988]
 [1605127206       6981]
 [1605127506          0]
 [1605127806          0]
 [1605128106          0]
 [1605128411          0]
 [1605128706          0]
 [1605129006          0]
 [1605129306          0]
 [1605129611          0]
 [1605129906          0]
 [1605130206          0]
 [1605130507          0]
 [1605130806          0]
 [1605131107          0]
 [1605131407          0]
 [1605131707          0]
 [1605132007          0]
 [1605132306          0]
 [1605132606          0]
 [1605132906          0]
 [1605133212          0]
 [1605133507          0]
 [1605133806          0]]",2020-11-11T14:30:06,7e40611ff8f81771592628312547eedede36157d5aee63ea0cfaca1c2b480a9c
30,620,Volt (second generation upgraded),3600,25,12,2020-11-13T16:19:55,2020-11-13T16:20:06,2020-11-14T04:11:00,2020-11-14T04:15:00,18400.0,29.32211666666670,180.0,3.0,12.0,300.0,0 days 20:40:02,20.66722222222220,SCHEDULED,15216,3450,"[[1605313212          0]
 [1605313507       3425]
 [1605313808       3426]
 [1605314108       3423]
 [1605314408       3421]
 [1605314708       3419]
 [1605315008       3417]
 [1605315308       3422]
 [1605315608       3420]
 [1605315908       3428]
 [1605316209       3433]
 [1605316508       3428]
 [1605316813       3432]
 [1605317107       3433]
 [1605317408       3432]
 [1605317708       3439]
 [1605318008       3437]
 [1605318308       3436]
 [1605318608       3438]
 [1605318908       3440]
 [1605319208       3447]
 [1605319508       3446]
 [1605319808       3446]
 [1605320108       3442]
 [1605320411       3446]
 [1605320707       3448]
 [1605321008       3445]
 [1605321308       3445]
 [1605321613       3446]
 [1605321908       3444]
 [1605322208       3444]
 [1605322508       3449]
 [1605322808       3446]
 [1605323108       3449]
 [1605323408       3449]
 [1605323708       3450]
 [1605324008       3445]
 [1605324313       3448]
 [1605324608       3437]
 [1605324908       3447]
 [1605325208       3447]
 [1605325508       3446]
 [1605325808       3447]
 [1605326109       3448]
 [1605326408       3442]
 [1605326708       3441]
 [1605327008       3445]
 [1605327308       3445]
 [1605327608       3443]
 [1605327913       3444]
 [1605328208       3446]
 [1605328508       3445]
 [1605328808       3448]
 [1605329108       3448]
 [1605329408       3448]
 [1605329708       2388]
 [1605330008       1664]
 [1605330308          0]
 [1605330608          0]
 [1605330908          0]
 [1605331209          0]
 [1605331512          0]
 [1605331808          0]
 [1605332108          0]
 [1605332408          0]
 [1605332708          0]
 [1605333008          0]
 [1605333308          0]
 [1605333608          0]
 [1605333908          0]
 [1605334208          0]
 [1605334508          0]
 [1605334812          0]
 [1605335108          0]
 [1605335408          0]
 [1605335708          0]
 [1605336008          0]
 [1605336308          0]
 [1605336608          0]
 [1605336908          0]
 [1605337208          0]
 [1605337508          0]
 [1605337809          0]
 [1605338108          0]
 [1605338412          0]
 [1605338708          0]
 [1605339008          0]
 [1605339308          0]
 [1605339608          0]
 [1605339908          0]
 [1605340207          0]
 [1605340508          0]
 [1605340808          0]
 [1605341108          0]
 [1605341408          0]
 [1605341708          0]
 [1605342012          0]
 [1605342308          0]
 [1605342608          0]
 [1605342908          0]
 [1605343208          0]
 [1605343508          0]
 [1605343808          0]
 [1605344108          0]
 [1605344408          0]
 [1605344708          0]
 [1605345008          0]
 [1605345308          0]
 [1605345612          0]
 [1605345907          0]
 [1605346208          0]
 [1605346508          0]
 [1605346808          0]
 [1605347108          0]
 [1605347407          0]
 [1605347708          0]
 [1605348008          0]
 [1605348307          0]
 [1605348608          0]
 [1605348908          0]
 [1605349212          0]
 [1605349508          0]
 [1605349808          0]
 [1605350107          0]
 [1605350408          0]
 [1605350708          0]
 [1605351008          0]
 [1605351308          0]
 [1605351608          0]
 [1605351908          0]
 [1605352207          0]
 [1605352508          0]
 [1605352813          0]
 [1605353107          0]
 [1605353408          0]
 [1605353708          0]
 [1605354008          0]
 [1605354308          0]
 [1605354608          0]
 [1605354908          0]
 [1605355208          0]
 [1605355507          0]
 [1605355808          0]
 [1605356108          0]
 [1605356412          0]
 [1605356708          0]
 [1605357008          0]
 [1605357308          0]
 [1605357608          0]
 [1605357908          0]
 [1605358208          0]
 [1605358508          0]
 [1605358808          0]
 [1605359108          0]
 [1605359408          0]
 [1605359707          0]
 [1605360008          0]
 [1605360308          0]
 [1605360608          0]
 [1605360912          0]
 [1605361207          0]
 [1605361508          0]
 [1605361807          0]
 [1605362108          0]
 [1605362408          0]
 [1605362708          0]
 [1605363008          0]
 [1605363308          0]
 [1605363612          0]
 [1605363908          0]
 [1605364208          0]
 [1605364508          0]
 [1605364808          0]
 [1605365108          0]
 [1605365407          0]
 [1605365708          0]
 [1605366008          0]
 [1605366307          0]
 [1605366608          0]
 [1605366908          0]
 [1605367212          0]
 [1605367507          0]
 [1605367808          0]
 [1605368108          0]
 [1605368408          0]
 [1605368708          0]
 [1605369008          0]
 [1605369308          0]
 [1605369608          0]
 [1605369907          0]
 [1605370207          0]
 [1605370508          0]
 [1605370812          0]
 [1605371107          0]
 [1605371408          0]
 [1605371708          0]
 [1605372008          0]
 [1605372308          0]
 [1605372608          0]
 [1605372908          0]
 [1605373208          0]
 [1605373507          0]
 [1605373808          0]
 [1605374107          0]
 [1605374412          0]
 [1605374707          0]
 [1605375008          0]
 [1605375308          0]
 [1605375608          0]
 [1605375908          0]
 [1605376208          0]
 [1605376508          0]
 [1605376808          0]
 [1605377108          0]
 [1605377408          0]
 [1605377707          0]
 [1605378012          0]
 [1605378308          0]
 [1605378608          0]
 [1605378907          0]
 [1605379208          0]
 [1605379507          0]
 [1605379808          0]
 [1605380108          0]
 [1605380408          0]
 [1605380708          0]
 [1605381008          0]
 [1605381308          0]
 [1605381613          0]
 [1605381907          0]
 [1605382208          0]
 [1605382508          0]
 [1605382808          0]
 [1605383108          0]
 [1605383408          0]
 [1605383708          0]
 [1605384008          0]
 [1605384308          0]
 [1605384608          0]
 [1605384907          0]
 [1605385213          0]
 [1605385507          0]
 [1605385808          0]
 [1605386108          0]
 [1605386408          0]
 [1605386708          0]
 [1605387008          0]
 [1605387309          0]
 [1605387608          0]]",2020-11-14T13:00:08,5475d7bfb9fdca49e239f14c88bc0ac50a8a26976a3e4430b4a26ffded8cdca1
31,618,Bolt EV,7200,23,6,2020-11-14T23:47:06,2020-11-14T23:47:16,1969-12-31T16:00:00,Null,Null,3.82125,150.0,3.0,18.0,400.0,0 days 02:12:51,2.214166666666670,REGULAR,14378,6889,"[[1605426607       6889]
 [1605426907       6873]
 [1605427207       6867]
 [1605427506       6853]
 [1605427807       6855]
 [1605428107       6863]
 [1605428411       6849]
 [1605428706       6859]
 [1605429007       6855]
 [1605429307       6852]
 [1605429607       6854]
 [1605429907       6864]
 [1605430206       6862]
 [1605430507       6859]
 [1605430807       6862]
 [1605431106       6859]
 [1605431407       6860]
 [1605431707       6864]
 [1605432011       6868]
 [1605432306       6862]
 [1605432607       6868]
 [1605432907       6867]
 [1605433207       6870]
 [1605433507       6862]
 [1605433807       6866]
 [1605434107       6862]
 [1605434407       6869]]",2020-11-15T02:00:07,add3a0ba4ca2d77670c3d08bbfb1c0903774c48d08d305574da4e8f625c9af17
32,623,B-Class Electric Drive,6000,23,9,2020-11-16T11:38:44,2020-11-16T11:42:22,2020-11-17T04:11:00,Null,Null,,,,,,0 days 03:12:45,3.2125,REGULAR,12484,6852,"[[1605555907       6813]
 [1605556207       6822]
 [1605556507       6821]
 [1605556807       6821]
 [1605557107       6828]
 [1605557407       6828]
 [1605557707       6833]
 [1605558012       6838]
 [1605558306       6842]
 [1605558607       6840]
 [1605558907       6838]
 [1605559207       6834]
 [1605559507       6834]
 [1605559807       6836]
 [1605560107       6838]
 [1605560407       6839]
 [1605560707       6847]
 [1605561007       6848]
 [1605561306       6852]
 [1605561612       6844]
 [1605561907       6843]
 [1605562207       6842]
 [1605562507       6843]
 [1605562807          0]
 [1605563107          0]
 [1605563407          0]
 [1605563707          0]
 [1605564007          0]
 [1605564307          0]
 [1605564607          0]
 [1605564907          0]
 [1605565212          0]
 [1605565507          0]
 [1605565807          0]
 [1605566107          0]
 [1605566407          0]
 [1605566706          0]
 [1605567007          0]
 [1605567307          0]]",2020-11-16T14:55:07,
33,589,Gem,3000,25,11,2020-11-17T08:06:22,2020-11-17T08:17:24,2020-11-17T20:11:00,Null,Null,,,,,,0 days 00:02:49,0.04694444444444440,REGULAR,108,0,[[1605630013          0]],2020-11-17T08:20:13,
35,589,Gem,3000,25,13,2020-11-17T08:23:41,2020-11-17T08:23:52,2020-11-17T20:11:00,Null,Null,,,,,,0 days 00:01:16,0.021111111111111100,REGULAR,39,2659,[[1605630308       2659]],2020-11-17T08:25:08,
36,589,Gem,3000,25,14,2020-11-17T08:27:05,2020-11-17T08:28:29,2020-11-17T20:11:00,Null,Null,,,,,,0 days 00:01:39,0.0275,REGULAR,52,3281,[[1605630608       3281]],2020-11-17T08:30:08,
37,589,Gem,3000,25,15,2020-11-17T08:34:00,2020-11-17T08:34:13,2020-11-17T20:11:00,Null,Null,,,,,,0 days 00:00:55,0.015277777777777800,REGULAR,19,0,[[1605630908          0]],2020-11-17T08:35:08,
39,589,Gem,3000,25,17,2020-11-17T08:39:10,2020-11-17T08:39:22,2020-11-17T20:11:00,Null,Null,,,,,,0 days 00:00:46,0.012777777777777800,REGULAR,9,1052,[[1605631208       1052]],2020-11-17T08:40:08,
